Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Western Conference,Year
New York Knicks,23,59,.280,44.0,98.7,104.3,-4.82,,1986
Milwaukee Bucks*,57,25,.695,—,114.5,105.5,8.69,,1986
Atlanta Hawks*,50,32,.610,7.0,108.6,106.2,2.59,,1986
Detroit Pistons*,46,36,.561,11.0,114.2,113.0,1.44,,1986
Chicago Bulls*,30,52,.366,27.0,109.3,113.1,-3.12,,1986
Cleveland Cavaliers,29,53,.354,28.0,107.8,110.6,-2.19,,1986
Indiana Pacers,26,56,.317,31.0,103.9,107.2,-2.66,,1986
,51,31,.622,—,114.4,111.8,2.10,Houston Rockets*,1986
,47,35,.573,4.0,114.8,113.5,0.89,Denver Nuggets*,1986
,44,38,.537,7.0,115.3,114.2,0.70,Dallas Mavericks*,1986
,42,40,.512,9.0,108.2,108.5,-0.67,Utah Jazz*,1986
,37,45,.451,14.0,108.8,111.9,-3.19,Sacramento Kings*,1986
,35,47,.427,16.0,111.2,113.1,-2.06,San Antonio Spurs*,1986
,62,20,.756,—,117.3,109.5,6.84,Los Angeles Lakers*,1986
,40,42,.488,22.0,115.1,114.0,0.61,Portland Trail Blazers*,1986
,32,50,.390,30.0,110.0,113.0,-3.16,Phoenix Suns,1986
,32,50,.390,30.0,108.6,115.5,-6.83,Los Angeles Clippers,1986
,31,51,.378,31.0,104.4,104.5,-0.47,Seattle SuperSonics,1986
,30,52,.366,32.0,113.4,116.9,-3.59,Golden State Warriors,1986
Boston Celtics*,59,23,.720,—,112.6,106.0,6.57,,1987
Philadelphia 76ers*,45,37,.549,14.0,106.5,106.6,0.11,,1987
Washington Bullets*,42,40,.512,17.0,106.0,107.3,-1.02,,1987
New Jersey Nets,24,58,.293,35.0,108.5,113.5,-4.42,,1987
New York Knicks,24,58,.293,35.0,103.8,110.0,-5.42,,1987
Atlanta Hawks*,57,25,.695,—,110.0,102.8,7.18,,1987
Detroit Pistons*,52,30,.634,5.0,111.2,107.8,3.51,,1987
Milwaukee Bucks*,50,32,.610,7.0,110.4,106.5,4.04,,1987
Indiana Pacers*,41,41,.500,16.0,106.1,106.7,-0.17,,1987
Chicago Bulls*,40,42,.488,17.0,104.8,103.9,1.26,,1987
Cleveland Cavaliers,31,51,.378,26.0,104.4,108.2,-3.19,,1987
,55,27,.671,—,116.7,110.4,5.54,Dallas Mavericks*,1987
,44,38,.537,11.0,107.9,107.5,0.04,Utah Jazz*,1987
,42,40,.512,13.0,106.9,105.9,0.60,Houston Rockets*,1987
,37,45,.451,18.0,116.7,117.6,-1.14,Denver Nuggets*,1987
,29,53,.354,26.0,110.9,114.1,-3.34,Sacramento Kings,1987
,28,54,.341,27.0,108.3,113.4,-5.09,San Antonio Spurs,1987
,65,17,.793,—,117.8,108.5,8.32,Los Angeles Lakers*,1987
,49,33,.598,16.0,117.9,114.8,2.57,Portland Trail Blazers*,1987
,42,40,.512,23.0,112.0,114.4,-2.54,Golden State Warriors*,1987
,39,43,.476,26.0,113.7,113.3,0.08,Seattle SuperSonics*,1987
,36,46,.439,29.0,111.1,113.5,-2.63,Phoenix Suns,1987
,12,70,.146,53.0,104.5,115.9,-11.00,Los Angeles Clippers,1987
Boston Celtics*,57,25,.695,—,113.6,107.7,6.15,,1988
Washington Bullets*,38,44,.463,19.0,105.5,106.3,-0.16,,1988
New York Knicks*,38,44,.463,19.0,105.5,106.0,0.14,,1988
Philadelphia 76ers,36,46,.439,21.0,105.7,107.1,-0.79,,1988
New Jersey Nets,19,63,.232,38.0,100.4,108.5,-6.98,,1988
Detroit Pistons*,54,28,.659,—,109.2,104.1,5.46,,1988
Chicago Bulls*,50,32,.610,4.0,105.0,101.6,3.76,,1988
Atlanta Hawks*,50,32,.610,4.0,107.9,104.3,4.02,,1988
Milwaukee Bucks*,42,40,.512,12.0,106.1,105.5,1.21,,1988
Cleveland Cavaliers*,42,40,.512,12.0,104.5,103.7,1.28,,1988
